,MARKET_TYPE,USER_TYPE,PRICE,AREA,ROOMS_NUM,BUILD_YEAR,FLOOR_NUMBER,BUILDING_FLOORS_NUM,BUILDING_MATERIAL,BUILDING_OWNERSHIP,BUILDING_TYPE,CONSTRUCTION_STATUS,EXTRAS_TYPES,WINDOWS_TYPE,HEATING,SECURITY_TYPES,PRICE_PER_M2,DISTANCE_FROM_CITY_CENTER_KM,RESIDENTIAL_AREA,DISTRICT
3417,primary,agency,574000.0,62.8,4,2023.0,floor_4,4.0,unknown,full_ownership,block,to_completion,"balcony, garage, lift, terrace",plastic,urban,closed_area,9140.13,6.34,Jagodno,Krzyki
3418,secondary,agency,639000.0,76.7,3,1926.0,floor_3,4.0,brick,full_ownership,tenement,ready_to_use,"basement, separate_kitchen",plastic,gas,entryphone,8331.16,2.1,Kleczków,Psie Pole
3419,primary,agency,497000.0,49.34,2,2022.0,ground_floor,2.0,unknown,full_ownership,apartment,to_completion,"garage, garden, lift, terrace",plastic,unknown,0,10072.96,6.27,Swojczyce-Strachocin-Wojnów,Psie Pole
3420,primary,agency,456000.0,50.0,3,2023.0,floor_1,4.0,unknown,unknown,block,to_completion,"balcony, garage, lift",unknown,urban,monitoring,9120.0,6.42,Jagodno,Krzyki
3421,secondary,agency,737800.0,43.0,3,2020.0,floor_8,8.0,silikat,full_ownership,apartment,unknown,"balcony, lift",unknown,urban,0,17158.14,3.61,Osobowice-Rędzin,Psie Pole
3422,primary,agency,588720.0,44.6,2,2024.0,floor_5,7.0,unknown,unknown,unknown,unknown,"garage, lift",plastic,urban,0,13200.0,2.4,Ołbin,Śródmieście
3423,primary,agency,445763.0,43.32,2,,floor_1,2.0,unknown,unknown,unknown,unknown,lift,unknown,unknown,0,10290.0,6.85,Ołtaszyn,Krzyki
3424,primary,agency,603905.0,53.8,3,2023.0,floor_3,4.0,unknown,unknown,apartment,to_completion,"balcony, basement, garage, lift",plastic,urban,0,11225.0,3.44,Zacisze-Zalesie-Szczytniki,Śródmieście
3425,primary,agency,630788.0,56.7,3,2023.0,floor_1,4.0,unknown,unknown,apartment,to_completion,"balcony, basement, garage, lift",plastic,urban,0,11125.01,3.44,Zacisze-Zalesie-Szczytniki,Śródmieście
3426,primary,agency,558330.0,50.3,2,2023.0,floor_1,4.0,unknown,unknown,apartment,to_completion,"balcony, basement, garage, lift",plastic,urban,0,11100.0,3.44,Zacisze-Zalesie-Szczytniki,Śródmieście
3427,primary,agency,534600.0,48.6,2,2023.0,floor_3,4.0,unknown,unknown,apartment,to_completion,"balcony, basement, garage, lift",plastic,urban,0,11000.0,3.44,Zacisze-Zalesie-Szczytniki,Śródmieście
3428,secondary,agency,275000.0,33.0,1,1970.0,floor_1,1.0,brick,full_ownership,tenement,unknown,0,unknown,electrical,0,8333.33,10.62,Świniary,Psie Pole
3429,secondary,agency,649000.0,44.0,2,1997.0,floor_1,3.0,brick,full_ownership,tenement,unknown,"balcony, basement, separate_kitchen, usable_room",unknown,gas,0,14750.0,2.2,Plac Grunwaldzki,Śródmieście
3430,secondary,agency,525000.0,50.0,2,2016.0,ground_floor,1.0,silikat,full_ownership,apartment,unknown,"garage, terrace",unknown,gas,0,10500.0,9.21,Swojczyce-Strachocin-Wojnów,Psie Pole
3431,secondary,agency,499000.0,37.0,1,2015.0,floor_2,2.0,silikat,full_ownership,apartment,unknown,terrace,unknown,urban,0,13486.49,5.74,Oporów,Fabryczna
3432,secondary,agency,339000.0,24.0,1,1930.0,floor_3,4.0,unknown,full_ownership,tenement,ready_to_use,0,unknown,electrical,"anti_burglary_door, entryphone",14125.0,1.4,Nadodrze,Śródmieście
3433,primary,agency,524000.0,46.29,2,,ground_floor,6.0,unknown,unknown,unknown,unknown,"balcony, garage, lift, usable_room",plastic,urban,0,11319.94,2.02,Szczepin,Stare Miasto
3434,primary,developer,431427.0,49.86,2,2023.0,floor_2,2.0,unknown,full_ownership,block,to_completion,"balcony, two_storey",plastic,urban,0,8652.77,8.44,Maślice,Fabryczna
3435,primary,developer,441383.0,31.02,1,2022.0,floor_2,4.0,unknown,unknown,tenement,to_completion,0,unknown,urban,entryphone,14228.98,1.36,Przedmieście Świdnickie,Stare Miasto
3436,secondary,private,485000.0,45.0,2,,floor_5,5.0,unknown,unknown,block,ready_to_use,"balcony, basement",wooden,urban,0,10777.78,0.91,Stare Miasto,Stare Miasto
3437,secondary,agency,780000.0,60.4,3,1993.0,floor_3,4.0,unknown,unknown,unknown,unknown,0,unknown,unknown,0,12913.91,2.25,Ołbin,Śródmieście
3438,secondary,private,1200000.0,87.2,3,,ground_floor,2.0,unknown,co_operative_ownership_with_a_land_and_mortgage_registe,block,ready_to_use,"basement, garage, garden, terrace",plastic,unknown,closed_area,13761.47,8.79,Maślice,Fabryczna
3439,secondary,agency,399000.0,36.0,2,1936.0,ground_floor,1.0,unknown,full_ownership,tenement,ready_to_use,"basement, separate_kitchen",plastic,gas,anti_burglary_door,11083.33,4.03,Kleczków,Psie Pole
3440,secondary,agency,549000.0,62.1,3,2002.0,floor_3,4.0,breezeblock,full_ownership,block,ready_to_use,"balcony, basement, separate_kitchen, two_storey",plastic,urban,"anti_burglary_door, closed_area, entryphone",8840.58,8.44,Maślice,Fabryczna
3441,secondary,private,439000.0,35.33,2,,floor_6,10.0,concrete_plate,full_ownership,block,ready_to_use,"basement, lift",wooden,urban,"anti_burglary_door, entryphone",12425.7,2.29,Gajowice,Fabryczna
